Unnamed: 0,game_id,game_title,month,peak_users,picture_url
663298,271590,Grand Theft Auto V,2018-05-01,82956,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
342966,439190,Stories: The Path of Destinies,2018-05-01,78966,https://steamcdn-a.akamaihd.net/steam/apps/439190/logo.png
632440,230410,Warframe,2018-05-01,73097,https://steamcdn-a.akamaihd.net/steam/apps/230410/logo.png
691256,252950,Rocket League,2018-05-01,66081,https://steamcdn-a.akamaihd.net/steam/apps/252950/logo.png
693053,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-04-01,2456361,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
691855,570,Dota 2,2018-04-01,733214,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
673314,730,Counter-Strike: Global Offensive,2018-04-01,523262,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
630334,203770,Crusader Kings II,2018-04-01,140269,https://steamcdn-a.akamaihd.net/steam/apps/203770/logo.png
687297,359550,Tom Clancy's Rainbow Six Siege,2018-04-01,124813,https://steamcdn-a.akamaihd.net/steam/apps/359550/logo.png
111468,232050,Eador. Masters of the Broken World,2018-04-01,115993,https://steamcdn-a.akamaihd.net/steam/apps/232050/logo.png
669774,218620,PAYDAY 2,2018-04-01,90893,https://steamcdn-a.akamaihd.net/steam/apps/218620/logo.png
663299,271590,Grand Theft Auto V,2018-04-01,89792,https://steamcdn-a.akamaihd.net/steam/apps/271590/logo.png
621790,552520,Far Cry 5,2018-04-01,89574,https://steamcdn-a.akamaihd.net/steam/apps/552520/logo.png
632441,230410,Warframe,2018-04-01,85227,https://steamcdn-a.akamaihd.net/steam/apps/230410/logo.png
693054,578080,PLAYERUNKNOWN'S BATTLEGROUNDS,2018-03-01,2799269,https://steamcdn-a.akamaihd.net/steam/apps/578080/logo.png
691856,570,Dota 2,2018-03-01,773897,https://steamcdn-a.akamaihd.net/steam/apps/570/logo.png
673315,730,Counter-Strike: Global Offensive,2018-03-01,672502,https://steamcdn-a.akamaihd.net/steam/apps/730/logo.png
687298,359550,Tom Clancy's Rainbow Six Siege,2018-03-01,176208,https://steamcdn-a.akamaihd.net/steam/apps/359550/logo.png
